[27/6/2024, 2:32:31 pm] Discussions: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[27/6/2024, 2:32:31 pm] ~ Nitish Singh: ‎~ Nitish Singh created this group
[8/7/2024, 11:19:49 am] ~ Udit Pant: ‎Your security code with ‪+91 70655 23239‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 72046 19132‬: ‎Your security code with ‪+91 72046 19132‬ changed.
[8/7/2024, 11:19:49 am] ~ Mrunal Wankhede: ‎Your security code with ‪+91 72195 95934‬ changed.
[8/7/2024, 11:19:49 am] ~ Ravi💫: ‎Your security code with ‪+91 72948 62552‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 73041 55418‬: ‎Your security code with ‪+91 73041 55418‬ changed.
[8/7/2024, 11:19:49 am] ~ Sam: ‎Your security code with ‪+91 74110 02111‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 76193 02472‬: ‎Your security code with ‪+91 76193 02472‬ changed.
[8/7/2024, 11:19:49 am] ~ atulkumaraug13: ‎Your security code with ‪+91 76672 15514‬ changed.
[8/7/2024, 11:19:49 am] ~ Sahil: ‎Your security code with ‪+91 76900 26622‬ changed.
[8/7/2024, 11:19:49 am] ~ Mayur Dalvi: ‎Your security code with ‪+91 77095 05646‬ changed.
[8/7/2024, 11:19:49 am] ~ Navvu: ‎Your security code with ‪+91 77609 26000‬ changed.
[8/7/2024, 11:19:49 am] ~ .: ‎Your security code with ‪+91 78990 10626‬ changed.
[8/7/2024, 11:19:49 am] ~ Jai Shree Shyam 🙏🏻: ‎Your security code with ‪+91 79061 61734‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 79825 96768‬: ‎Your security code with ‪+91 79825 96768‬ changed.
[8/7/2024, 11:19:49 am] ~ Gautham Sashi: ‎Your security code with ‪+91 79897 18256‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 80079 80278‬: ‎Your security code with ‪+91 80079 80278‬ changed.
[8/7/2024, 11:19:49 am] ~ Harish Singh: ‎Your security code with ‪+91 80100 82176‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 80164 20105‬: ‎Your security code with ‪+91 80164 20105‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 80509 41947‬: ‎Your security code with ‪+91 80509 41947‬ changed.
[8/7/2024, 11:19:49 am] ~ Uru: ‎Your security code with ‪+91 80521 91445‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 80731 87716‬: ‎Your security code with ‪+91 80731 87716‬ changed.
[8/7/2024, 11:19:49 am] ~ Vasudev Gupta: ‎Your security code with ‪+91 80761 16453‬ changed.
[8/7/2024, 11:19:49 am] ~ Ujjwal Krishna: ‎Your security code with ‪+91 80880 89889‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 81066 66835‬: ‎Your security code with ‪+91 81066 66835‬ changed.
[8/7/2024, 11:19:49 am] ~ Bhuvi: ‎Your security code with ‪+91 81257 38558‬ changed.
[8/7/2024, 11:19:49 am] ~ Rajesh Singha: ‎Your security code with ‪+91 81678 12021‬ changed.
[8/7/2024, 11:19:49 am] Ajay Sati: ‎Your security code with Ajay Sati changed.
[8/7/2024, 11:19:49 am] ~ Ishan Singh: ‎Your security code with ‪+91 82105 79344‬ changed.
[8/7/2024, 11:19:49 am] ~ Ashis Pradhan: ‎Your security code with ‪+91 82493 88544‬ changed.
[8/7/2024, 11:19:49 am] ~ Aashif: ‎Your security code with ‪+91 82508 82573‬ changed.
[8/7/2024, 11:19:49 am] ~ Sami: ‎Your security code with ‪+91 82986 34722‬ changed.
[8/7/2024, 11:19:49 am] ~ Uttam~~: ‎Your security code with ‪+91 82993 28699‬ changed.
[8/7/2024, 11:19:49 am] ~ Abdul Ahad: ‎Your security code with ‪+91 83683 45669‬ changed.
[8/7/2024, 11:19:49 am] ~ Yash: ‎Your security code with ‪+91 85510 50066‬ changed.
[8/7/2024, 11:19:49 am] ~ Prasnajit Patra: ‎Your security code with ‪+91 86586 70475‬ changed.
[8/7/2024, 11:19:49 am] ~ os: ‎Your security code with ‪+91 86682 60749‬ changed.
[8/7/2024, 11:19:49 am] ~ .: ‎Your security code with ‪+91 87004 45751‬ changed.
[8/7/2024, 11:19:49 am] ~ Priyanka: ‎Your security code with ‪+91 87938 94353‬ changed.
[8/7/2024, 11:19:49 am] ~ @N!K€T: ‎Your security code with ‪+91 88022 84785‬ changed.
[8/7/2024, 11:19:49 am] ~ Mukesh Bhatt: ‎Your security code with ‪+91 88598 84429‬ changed.
[8/7/2024, 11:19:49 am] ~ 😈Devil👿: ‎Your security code with ‪+91 88618 29800‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 89002 05772‬: ‎Your security code with ‪+91 89002 05772‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 90074 67568‬: ‎Your security code with ‪+91 90074 67568‬ changed.
[8/7/2024, 11:19:49 am] ~ Vicky: ‎Your security code with ‪+91 90780 70595‬ changed.
[8/7/2024, 11:19:49 am] ~ Sankettt: ‎Your security code with ‪+91 90960 21404‬ changed.
[8/7/2024, 11:19:49 am] ~ Debashis Majumder: ‎Your security code with ‪+91 91 2375 036 3‬ changed.
[8/7/2024, 11:19:49 am] ~ Shantanu: ‎Your security code with ‪+91 91 6815 256 7‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 91 82920 820‬: ‎Your security code with ‪+91 91 82920 820‬ changed.
[8/7/2024, 11:19:49 am] ~ Vikas Gautam: ‎Your security code with ‪+91 92059 76163‬ changed.
[8/7/2024, 11:19:49 am] ~ Mohd Maaz: ‎Your security code with ‪+91 92609 76665‬ changed.
[8/7/2024, 11:19:49 am] ~ Rishabh Humnekar: ‎Your security code with ‪+91 93019 96667‬ changed.
[8/7/2024, 11:19:49 am] ~ NAVEEN SHARMA: ‎Your security code with ‪+91 93051 85808‬ changed.
[8/7/2024, 11:19:49 am] ~ || The Gamer ||: ‎Your security code with ‪+91 93157 65421‬ changed.
[8/7/2024, 11:19:49 am] ~ Vaibhav: ‎Your security code with ‪+91 93224 38681‬ changed.
[8/7/2024, 11:19:49 am] ~ Hitesh: ‎Your security code with ‪+91 93552 07485‬ changed.
[8/7/2024, 11:19:49 am] ~ AYUSHWASE28: ‎Your security code with ‪+91 93724 07358‬ changed.
[8/7/2024, 11:19:49 am] ~ Ashish Sukhadeve: ‎Your security code with ‪+91 94059 18104‬ changed.
[8/7/2024, 11:19:49 am] ~ Ankish Agrawal: ‎Your security code with ‪+91 94629 38681‬ changed.
[8/7/2024, 11:19:49 am] ~ rishu: ‎Your security code with ‪+91 94726 85843‬ changed.
[8/7/2024, 11:19:49 am] ~ H V: ‎Your security code with ‪+91 95024 99449‬ changed.
[8/7/2024, 11:19:49 am] ~ Mitesh Sah: ‎Your security code with ‪+91 95077 10267‬ changed.
[8/7/2024, 11:19:49 am] ~ Megha Baliyan: ‎Your security code with ‪+91 95131 33753‬ changed.
[8/7/2024, 11:19:49 am] ~ Shubhangi: ‎Your security code with ‪+91 95273 11351‬ changed.
[8/7/2024, 11:19:49 am] ~ Kiran Kale..: ‎Your security code with ‪+91 95276 50692‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 96608 36686‬: ‎Your security code with ‪+91 96608 36686‬ changed.
[8/7/2024, 11:19:49 am] ~ Pratik: ‎Your security code with ‪+91 96740 67252‬ changed.
[8/7/2024, 11:19:49 am] ~ Ravi: ‎Your security code with ‪+91 97388 76864‬ changed.
[8/7/2024, 11:19:49 am] ~ Reema: ‎Your security code with ‪+91 97528 64178‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 97720 48850‬: ‎Your security code with ‪+91 97720 48850‬ changed.
[8/7/2024, 11:19:49 am] ~ Rⁿ: ‎Your security code with ‪+91 98042 63652‬ changed.
[8/7/2024, 11:19:49 am] ~ Megha: ‎Your security code with ‪+91 98111 83692‬ changed.
[8/7/2024, 11:19:49 am] ~ Nazim Chauhan: ‎Your security code with ‪+91 98115 63237‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 98347 87269‬: ‎Your security code with ‪+91 98347 87269‬ changed.
[8/7/2024, 11:19:49 am] ~ Pankaj: ‎Your security code with ‪+91 99147 41954‬ changed.
[8/7/2024, 11:19:49 am] ~ Rajni Kant: ‎Your security code with ‪+91 99317 11079‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 99319 96443‬: ‎Your security code with ‪+91 99319 96443‬ changed.
[8/7/2024, 11:19:49 am] ~ Manish Kushwaha: ‎Your security code with ‪+91 99553 53671‬ changed.
[8/7/2024, 11:19:49 am] ‪+91 99809 83109‬: ‎Your security code with ‪+91 99809 83109‬ changed.
[8/7/2024, 11:19:49 am] ~ Faizan Akram: ‎Your security code with ‪+92 342 6119559‬ changed.
[8/7/2024, 11:29:29 am] ~ マニカンタ ❤️‍🔥: ‎~ マニカンタ ❤️‍🔥 joined from the community
[8/7/2024, 11:38:39 am] ~ Sinha Ji: ‎~ Sinha Ji joined from the community
[8/7/2024, 11:48:10 am] ‪+971 55 866 9707‬: ‎‪+971 55 866 9707‬ joined from the community
[8/7/2024, 11:48:55 am] ~ Vineet: ‎~ Vineet joined from the community
[8/7/2024, 12:28:06 pm] ~ Rajat Sinha: ‎~ Rajat Sinha joined from the community
[8/7/2024, 12:39:13 pm] ~ Kishorekumar: ‎~ Kishorekumar joined from the community
[8/7/2024, 7:29:23 pm] ~ Kishorekumar: ‎Your security code with ‪+91 84848 75370‬ changed.
[8/7/2024, 12:56:52 pm] ~ Bhanu Yenumula: ‎~ Bhanu Yenumula joined from the community
[8/7/2024, 2:08:57 pm] ~ suryakantabarik: ‎~ suryakantabarik joined from the community
[8/7/2024, 2:17:07 pm] ~ Anjali: ‎~ Anjali joined from the community
[8/7/2024, 2:17:21 pm] ~ Anjali: Hii
[8/7/2024, 2:24:03 pm] ~ Tensor: Hello
[8/7/2024, 2:32:29 pm] ~ G Debadutta: ‎~ G Debadutta joined from the community
[8/7/2024, 2:54:13 pm] ~ Avinash Mishra: ‎~ Avinash Mishra joined from the community
‎[8/7/2024, 2:55:03 pm] Ajay Sati: DAY-1.one ‎document omitted
[8/7/2024, 2:57:07 pm] ~ Simran Sharma: ‎~ Simran Sharma joined from the community
[8/7/2024, 2:59:08 pm] ~ Avinash Mishra: Microsoft OneNote wants login
[8/7/2024, 3:00:13 pm] Ajay Sati: Please everyone download one notebook and login with your respective  Microsoft id's
[8/7/2024, 3:07:19 pm] ~ manoranjanmallik: ‎~ manoranjanmallik joined from the community
[8/7/2024, 7:29:24 pm] ~ Sinha Ji: ‎Your security code with ‪+91 82104 01915‬ changed.
‎[8/7/2024, 3:07:26 pm] ~ Sinha Ji: ‎image omitted
[8/7/2024, 3:10:24 pm] ~ || The Gamer ||: I have opened it. How is this possible
[8/7/2024, 3:10:59 pm] Ajay Sati: Anyone else facing the issue
‎[8/7/2024, 3:11:00 pm] ~ || The Gamer ||: ‎image omitted
‎[8/7/2024, 3:15:51 pm] ~ Akash: DAY-1.pdf • ‎4 pages ‎document omitted
[8/7/2024, 3:16:24 pm] ~ Sinha Ji: thanks bro
[8/7/2024, 3:16:50 pm] ~ Utsav Raj: ‎~ Utsav Raj joined from the community
[8/7/2024, 7:29:24 pm] ~ Utsav Raj: ‎Your security code with ‪+91 79911 56615‬ changed.
[8/7/2024, 3:20:52 pm] ~ Ritu: ‎~ Ritu joined from the community
[8/7/2024, 3:21:30 pm] ~ Sufal: Guys, render issues ho rahe hai pdf format me, we will update in sometime, dont worry at all
[8/7/2024, 3:39:14 pm] ~ Pragati Kumari: ‎~ Pragati Kumari joined from the community
[8/7/2024, 7:29:24 pm] ~ Pragati Kumari: ‎Your security code with ‪+91 87095 46142‬ changed.
‎[8/7/2024, 3:42:30 pm] Ajay Sati: DAY-1.pdf • ‎3 pages ‎document omitted
[8/7/2024, 3:45:17 pm] ~ Typing...: ‎~ Typing... joined from the community
[8/7/2024, 3:50:11 pm] ~ AMohanty: ‎~ AMohanty joined from the community
[8/7/2024, 4:24:48 pm] ~ Arnab Kumar Dutta: ‎~ Arnab Kumar Dutta joined from the community
[8/7/2024, 4:34:47 pm] ~ Saroj Kumar: ‎~ Saroj Kumar joined from the community
[8/7/2024, 7:29:24 pm] ~ Saroj Kumar: ‎Your security code with ‪+91 88603 32075‬ changed.
[8/7/2024, 4:44:18 pm] ~ Jayant Kumar Gupta: ‎~ Jayant Kumar Gupta joined from the community
[8/7/2024, 4:48:10 pm] ~ ~Vish: ‎~ ~Vish joined from the community
[8/7/2024, 4:50:12 pm] ~ 😊: ‎~ 😊 joined from the community
[8/7/2024, 4:51:45 pm] ~ Payal Chopra: ‎~ Payal Chopra joined from the community
[8/7/2024, 4:54:50 pm] ~ Ankit Kumawat: ‎~ Ankit Kumawat joined from the community
[8/7/2024, 7:29:24 pm] ~ Ankit Kumawat: ‎Your security code with ‪+91 70148 79055‬ changed.
[8/7/2024, 5:01:26 pm] ~ Shiva..: ‎~ Shiva.. joined from the community
[8/7/2024, 5:20:46 pm] ~ Rashid Iqbal: ‎~ Rashid Iqbal joined from the community
[8/7/2024, 6:02:09 pm] ~ Chetan: ‎~ Chetan joined from the community
[8/7/2024, 7:29:25 pm] ~ マニカンタ ❤️‍🔥: ‎Your security code with ‪+91 93812 33400‬ changed.
[8/7/2024, 7:29:25 pm] ‪+971 55 866 9707‬: ‎Your security code with ‪+971 55 866 9707‬ changed.
[8/7/2024, 7:29:34 pm] ~ Arpit Mishra: ‎~ Arpit Mishra joined from the community
[8/7/2024, 7:37:06 pm] ~ Shivam Yadav: ‎~ Shivam Yadav joined from the community
[12/7/2024, 3:54:56 pm] ~ Shivam Yadav: ‎Your security code with ‪+91 84474 63910‬ changed.
[8/7/2024, 7:44:01 pm] ~ Balaram: ‎~ Balaram joined from the community
[8/7/2024, 8:01:26 pm] ~ Rabi'a: ‎~ Rabi'a joined from the community
[8/7/2024, 8:12:16 pm] ~ Fareed〽️: ‎~ Fareed〽️ joined from the community
[12/7/2024, 3:54:56 pm] ~ Fareed〽️: ‎Your security code with ‪+91 98454 84798‬ changed.
[8/7/2024, 8:31:12 pm] ~ Bhuvan Billav: ‎~ Bhuvan Billav joined from the community
[8/7/2024, 9:30:47 pm] ~ Dushii: ‎~ Dushii joined from the community
[12/7/2024, 3:54:56 pm] ~ Dushii: ‎Your security code with ‪+91 70828 04025‬ changed.
[8/7/2024, 9:43:03 pm] ~ Utkarsh Singh: ‎~ Utkarsh Singh joined from the community
[8/7/2024, 9:51:40 pm] ~ Sanju: ‎~ Sanju joined from the community
[12/7/2024, 3:54:56 pm] ~ Sanju: ‎Your security code with ‪+91 75071 40269‬ changed.
[8/7/2024, 10:28:49 pm] ~ Niks: ‎~ Niks joined from the community
[8/7/2024, 10:32:23 pm] ~ Jayesh: ‎~ Jayesh joined from the community
[12/7/2024, 3:54:56 pm] ~ Jayesh: ‎Your security code with ‪+91 76248 71862‬ changed.
[8/7/2024, 10:54:05 pm] ~ pawanraje: ‎~ pawanraje joined from the community
[9/7/2024, 12:02:09 am] ~ Himanshu: ‎~ Himanshu joined from the community
[9/7/2024, 12:24:25 am] ~ Nilesh kolekar: ‎~ Nilesh kolekar joined from the community
[9/7/2024, 12:26:14 am] ~ Subhrajit Pradhan: ‎~ Subhrajit Pradhan joined from the community
[9/7/2024, 12:36:38 am] ~ Sagun: has the session started for today?
[9/7/2024, 12:37:36 am] ~ .: No session for today
[9/7/2024, 12:37:43 am] ~ || The Gamer ||: I guess today there is no session
[9/7/2024, 12:38:05 am] ~ Bilal Ahmed: No,  only on sat-sun
And a doubt session on wed.
[9/7/2024, 12:38:09 am] ~ Mitesh Sah: Sessions are on the weekend
[9/7/2024, 12:38:46 am] ~ Sufal: https://docs.google.com/spreadsheets/d/1UZVW3LjD4YiifjZZ-of4EFgLK9njO9EvuAhR-qg4dag/edit?usp=sharing
[9/7/2024, 12:40:06 am] ~ rishu: They are going to teach us only on weekend!!
[9/7/2024, 12:41:04 am] ~ Vignesh Srinivasan: ‎~ Vignesh Srinivasan joined from the community
[12/7/2024, 3:54:56 pm] ~ Vignesh Srinivasan: ‎Your security code with ‪+91 96982 82247‬ changed.
[9/7/2024, 12:52:05 am] ~ Sagun: Thank you
[9/7/2024, 1:23:02 am] ~ vishal: ‎~ vishal joined from the community
[9/7/2024, 1:46:50 am] ~ Lovish 🫡: ‎~ Lovish 🫡 joined from the community
[9/7/2024, 1:49:13 am] ~ 🇵​🇷​🇦​🇯​🇦​🇵​🇦​🇹​🇮​: ‎~ 🇵​🇷​🇦​🇯​🇦​🇵​🇦​🇹​🇮​ joined from the community
[9/7/2024, 2:30:37 am] ~ Yogesh Bagdarekar: ‎~ Yogesh Bagdarekar joined from the community
[9/7/2024, 2:37:47 am] ~ Shreedhan Gajarlwar: ‎~ Shreedhan Gajarlwar joined from the community
[12/7/2024, 3:54:57 pm] ~ Shreedhan Gajarlwar: ‎Your security code with ‪+91 86686 93882‬ changed.
[9/7/2024, 2:41:28 am] ~ Gopal: ‎~ Gopal joined from the community
[12/7/2024, 3:54:57 pm] ~ Gopal: ‎Your security code with ‪+91 99049 49053‬ changed.
[9/7/2024, 2:51:08 am] ~ Diwan Singh Chauhan: ‎~ Diwan Singh Chauhan joined from the community
[9/7/2024, 2:51:42 am] ~ Shalaka Thakare: ‎~ Shalaka Thakare joined from the community
[9/7/2024, 3:02:35 am] ~ Ruben Varghese: ‎~ Ruben Varghese joined from the community
[9/7/2024, 3:08:25 am] ~ Shubham: ‎~ Shubham joined from the community
[9/7/2024, 3:22:53 am] ~ Piyush •_•: ‎~ Piyush •_• joined from the community
[12/7/2024, 3:54:57 pm] ~ Piyush •_•: ‎Your security code with ‪+91 98680 77613‬ changed.
[9/7/2024, 3:45:07 am] ~ ~~~~: ‎~ ~~~~ joined from the community
[9/7/2024, 4:21:44 am] ~ Ritika: ‎~ Ritika joined from the community
[9/7/2024, 4:33:31 am] ~ Balambika: ‎~ Balambika joined from the community
[9/7/2024, 5:11:58 am] ~ Saharsh Gupta: ‎~ Saharsh Gupta joined from the community
[9/7/2024, 6:49:39 am] ~ Swinal Waghmare: ‎~ Swinal Waghmare joined from the community
[9/7/2024, 9:07:58 am] ~ Samarth Sharma: ‎~ Samarth Sharma joined from the community
[9/7/2024, 10:27:49 am] ~ Gaurav: ‎~ Gaurav joined from the community
[12/7/2024, 3:54:57 pm] ~ Gaurav: ‎Your security code with ‪+65 8491 0180‬ changed.
[9/7/2024, 11:16:22 am] ~ Harsh: ‎~ Harsh joined from the community
[9/7/2024, 1:22:38 pm] ~ Keval Sakhiya: ‎~ Keval Sakhiya joined from the community
[9/7/2024, 3:10:11 pm] ~ Diptesh Saha: ‎~ Diptesh Saha joined from the community
[9/7/2024, 3:27:15 pm] ~ Jeenu: ‎~ Jeenu joined from the community
[9/7/2024, 3:41:48 pm] ~ 🌄: ‎~ 🌄 joined from the community
[9/7/2024, 3:58:04 pm] ~ Fahad: ‎~ Fahad joined from the community
[9/7/2024, 4:04:50 pm] ~ Vasu Aggarwal: ‎~ Vasu Aggarwal joined from the community
[9/7/2024, 4:48:33 pm] ~ revamp_study: Hii all
[9/7/2024, 4:48:54 pm] ~ Vicky: Hi
[9/7/2024, 4:49:13 pm] ~ Vasu Aggarwal: Hlo 🙂
[9/7/2024, 4:53:33 pm] ~ Piyush •_•: Hi everyone
[9/7/2024, 4:54:13 pm] ~ revamp_study: Is there anyone who have from engineering background
[9/7/2024, 4:54:16 pm] ~ Yogesh Bagdarekar: Hello folks
[9/7/2024, 4:54:39 pm] ~ Vicky: Yes
[9/7/2024, 4:54:52 pm] ~ Avinash Mishra: Yes
[9/7/2024, 4:55:17 pm] ~ revamp_study: Bhai kis branch se ho
[9/7/2024, 4:55:29 pm] ~ Vicky: Cse
[9/7/2024, 4:56:27 pm] ~ Avinash Mishra: CSE
[9/7/2024, 4:57:45 pm] ~ Ritam Mukherjee: Yes
[9/7/2024, 5:01:29 pm] ~ revamp_study: Cse and it ke alawa
[9/7/2024, 5:01:43 pm] ~ revamp_study: Bhai meri mechanical engineering he
[9/7/2024, 5:01:52 pm] ~ Mayur Dalvi: i am from ECE
[9/7/2024, 5:02:14 pm] ~ revamp_study: Data analyst k profile me kafi struggle krna pd rha h
[9/7/2024, 5:02:25 pm] ~ 🇵​🇷​🇦​🇯​🇦​🇵​🇦​🇹​🇮​: Mechanical engineering ✋🏻
[9/7/2024, 5:02:35 pm] ~ revamp_study: Koi company fresher ko le hi nhi rhi
[9/7/2024, 5:02:49 pm] ~ revamp_study: Cool
[9/7/2024, 5:02:54 pm] ~ 🇵​🇷​🇦​🇯​🇦​🇵​🇦​🇹​🇮​: Haan experience le rhe sb
[9/7/2024, 5:03:57 pm] ~ revamp_study: Bhai python and sql pd lya kya
[9/7/2024, 5:05:29 pm] ~ マニカンタ ❤️‍🔥: Yes
[9/7/2024, 5:05:59 pm] ~ revamp_study: Which branch??
[9/7/2024, 5:06:11 pm] ~ マニカンタ ❤️‍🔥: ECE
[9/7/2024, 5:06:23 pm] ~ revamp_study: Great.
[9/7/2024, 5:06:38 pm] ~ Mayur Dalvi: kaha pe apply kiya tha kya ?
[9/7/2024, 5:07:22 pm] ~ revamp_study: ?
[9/7/2024, 5:07:45 pm] ~ Mayur Dalvi: data analyst ke liye
[9/7/2024, 5:07:53 pm] ~ Mayur Dalvi: company me apply kiya tha kya
[9/7/2024, 5:12:52 pm] ~ Vicky: ‎Waiting for this message. This may take a while.
[9/7/2024, 5:13:22 pm] ~ Mayur Dalvi: reply aata hai kya ?
[9/7/2024, 5:13:42 pm] ~ Vicky: Hm
[9/7/2024, 5:14:05 pm] ~ Mayur Dalvi: mene apply kiya tha lekin reply nahi aaya
[9/7/2024, 5:14:37 pm] ~ Vicky: Update ur resume
[9/7/2024, 5:15:07 pm] ~ Mayur Dalvi: okay
[9/7/2024, 5:15:51 pm] ~ Mayur Dalvi: are you working right now ?
[9/7/2024, 5:16:21 pm] ~ Vicky: No
[9/7/2024, 5:16:45 pm] ~ Mayur Dalvi: okay
[9/7/2024, 5:17:06 pm] ~ vishal: Bhai please demotivate mat karna pahile sikne thi do job badmai dek the hai
[9/7/2024, 5:18:19 pm] ~ Mayur Dalvi: bhai demotivate nahi  kr raha bro .........
[9/7/2024, 5:18:22 pm] ~ .: I think this is the official WhatsApp group so don't discuss anything else here .... Please it's a kind request..... ‎<This message was edited>
[9/7/2024, 5:18:28 pm] ~ Mayur Dalvi: i also wanna be a data analyst
[9/7/2024, 5:20:27 pm] ~ .: If you have any doubt from the topic then we can discuss but don't discuss anything else
[9/7/2024, 5:41:01 pm] Ajay Sati: Hey everyone, Ajay Sati this side, your tutor.

 Believe me, guys, no matter your background, you can break into the data field if you have the right set of skills, some wonderful projects, and the technique of selling yourself to recruiters. There are ample job openings in the market, and they will keep on growing with time. We just have to make sure that we have the apt skills. But by skills, I don't mean just knowing things. Most aspirants know the concepts, but only 4-5% know how to use those concepts effectively. Everyone lacks the industrial implications of the concepts they have learned. Focus on real-world applications, work on meaningful projects, and develop a strong portfolio. Remember, the key to hiring  is not just knowledge but also the ability to apply that knowledge in practical, impactful ways. Companies can go for people who know less concepts but know how to apply the things than rather then the one who knows everything but dont know how to apply a single of them.
Concepts can be taught but logics( i call them magics), mindset need to be build.
data field exists  because the data hold very very deep secrets in it . Once we have mindset to un-cover those secrets, you can do wonders.
The greatest analytical tool we have is our Brain.
Let's keep pushing forward and sharpening our skills, and you'll see the opportunities open up for you.
[9/7/2024, 5:41:37 pm] ~ @N!K€T: You are amazing.
[9/7/2024, 5:49:07 pm] ~ Ritam Mukherjee: Same here bro
[9/7/2024, 5:51:40 pm] ~ Ignite: Sir how to improve logic building ?
[9/7/2024, 5:55:06 pm] ~ revamp_study: Sir can you help us to crack job also bcos many companies doesn't allow fresher
[9/7/2024, 6:02:17 pm] ~ Ruben Varghese: PowerBI “Advance Editor” is in the syllabus ?

It helps in leveraging chatgpt for the analysis
[9/7/2024, 6:10:45 pm] Ajay Sati: Yes.
[9/7/2024, 6:11:24 pm] Ajay Sati: With the course you will learn this.
[9/7/2024, 6:11:53 pm] ~ Ignite: Ok sir thank you
[9/7/2024, 8:08:46 pm] ~ Anubhav Agrawal: ‎~ Anubhav Agrawal joined from the community
[9/7/2024, 8:09:31 pm] ~ Sahil Bhaidkar: ‎~ Sahil Bhaidkar joined from the community
[9/7/2024, 9:43:20 pm] ~ Aska: ‎~ Aska joined from the community
[9/7/2024, 11:36:09 pm] ~ Rohit Arora: ‎~ Rohit Arora joined from the community
[12/7/2024, 3:55:00 pm] ~ Rohit Arora: ‎Your security code with ‪+91 72065 82513‬ changed.
[9/7/2024, 11:42:05 pm] ~ Harry: Hey Ajay,
Is there a possibility of you holding a session on career growth and planning? Personally I want to be a location independent consultant which I think is exactly who you are. Was wondering if you can share some thoughts and steps to get there then it will be very valuable.
Thanks
Harry
[9/7/2024, 11:52:59 pm] ~ Karan Grover: ‎~ Karan Grover joined from the community
[12/7/2024, 3:55:00 pm] ~ Karan Grover: ‎Your security code with ‪+49 176 87739648‬ changed.
[9/7/2024, 11:53:32 pm] ~ Karan Grover: Hello 🙋‍♂️ everyone
[9/7/2024, 11:58:01 pm] ~ Kamran Ali: Hi everyone
[10/7/2024, 12:01:11 am] ~ Kamran Ali: We can hold general group discussions before the session
[10/7/2024, 12:41:30 am] ~ Mohammed: ‎~ Mohammed joined from the community
[10/7/2024, 1:08:39 am] ~ Sagar Ra: ‎~ Sagar Ra joined from the community
[10/7/2024, 1:20:53 am] ~ Anushka Gupta😇😇: ‎~ Anushka Gupta😇😇 joined from the community
[10/7/2024, 1:24:01 am] ~ RAJ ADITYA: ‎~ RAJ ADITYA joined from the community
